Group_ID,Num_Vendors,Num_Devices,Num_Domains,Vendors,Devices,Domains,Domain_Types
C0055,2,2,10,huawei|lecheng,Lecheng Camera_selfdata|huawei_tv,api.weathercn.com|connectivitycheck.platform.hicloud.com|grs.dbankcloud.com|hwid-drcn.platform.hicloud.com|metrics1-drcn.dt.dbankcloud.cn|metrics1.data.hicloud.com|oauth-login-drcn.platform.dbankcloud.com|smarthome-drcn.dbankcdn.com|smarthome.hicloud.com|weather-drcn.music.hicloud.com,Generic Service|IoT Platform
C0056,2,2,7,google|nvidia,Google Home Mini3_IoTLS|nVidia Shield_YT,clients3.google.com|clients4.google.com|connectivitycheck.gstatic.com|mtalk.google.com|play.googleapis.com|www.googleapis.com|www.gstatic.com,Generic Service
C0057,2,2,7,lg|roku,LG Smart TV_Mon(us)|Roku TV_Mon(us),api-global.netflix.com|appboot.netflix.com|assets.nflxext.com|customerevents.netflix.com|ichnaea.netflix.com|secure.netflix.com|uiboot.netflix.com,Content Service
C0058,2,2,6,amazon|roku,Amazon Fire TV_Mon(us)|Roku TV_Mon(uk),api-global.netflix.com|customerevents.netflix.com|ichnaea.netflix.com|nrdp50-appboot.netflix.com|secure.netflix.com|uiboot.netflix.com,Content Service
C0059,2,2,6,apple|govee,Apple Home Pod_YT|Govee Sensor_selfdata,25-courier.push.apple.com|captive.apple.com|configuration.apple.com|gsa.apple.com|iphone-ld.apple.com|mesu.apple.com,Generic Service
C0060,2,2,3,amazon|samsung,Amazon Fire TV_Mon(uk)|Samsung Smart TV_YT,ad.doubleclick.net|api.amazon.com|m.media-amazon.com,Generic Service
C0061,2,2,3,dalen|xiaotun,Dalen Light_selfdata|Xiaotun Camera_selfdata,data.hicloud.com|update-drcn.platform.hicloud.com|wisedevice-hilink-drcn.things.dbankcloud.cn,Generic Service|IoT Platform
C0062,2,2,3,jooan|konka,Konka Camera_selfdata|Qiaoan Camera_selfdata,qacloudapi.jooancloud.com|qalink-cloud-log.oss-cn-shanghai.aliyuncs.com|qiaoan-thn.obs.cn-east-3.myhuaweicloud.com,IoT Platform
C0063,2,2,2,xiaobai|xiaomao,Xiaobai Doorbell_selfdata|Xiaomao Camera_selfdata,business.smartcamera.api.io.mi.com|processor.smartcamera.api.io.mi.com,IoT Platform
C0064,2,2,1,google|nest,Google Home_YT|Nest CamIQ_YT,google.com,Generic Service
C0065,2,2,1,harman kardon|sonos,Harmon Kardon Invoke_YT|Sonos_YT,esdk-ffl.spotify.com,Content Service
C0066,2,2,1,philips|wiz,Philips Light_selfdata|Wiz Light_selfdata,mqtt.wizconnected.cn,IoT Platform
C0067,2,2,1,midea|tianmao,Tianmao Speaker_selfdata|midea_mirror,aidevice.cn-hangzhou.log.aliyuncs.com,IoT Platform
C0068,2,2,1,xiaobai|xiaomi,Xiaobai Camera_selfdata|Xiaomi Camera_Mon(uk),cdn.cnbj2.fds.api.mi-img.com,Generic Service
C0069,2,2,1,xiaodu|xiaomi,Xiaodu Clock_selfdata|xiaomitv_speaker,iot102.music.126.net,Content Service
